Title,Domestic_gross,International_gross,Worldwide,theater,release_date,Release_Period,distributer,Genres,MPAA,Running_Time,Budget
Avatar,749766139,1993811448,2743577587,3461,Dec 18 2010,Dec 18 2009            -            Aug 12 2010,Twentieth Century Fox,Action            Adventure            Fantasy            Sci-Fi,PG-13,2 hr 42 min,237000000
Toy Story 3,415004880,651964823,1066969703,4028,Jun 18 2010,Jun 18 2010            -            Dec 2 2010,Walt Disney Studios Motion Pictures,Adventure            Animation            Comedy            Family            Fantasy,,1 hr 43 min,200000000
Alice in Wonderland,334191110,691276000,1025467110,3739,Mar 5 2010,Mar 5 2010            -            Jul 8 2010,Walt Disney Studios Motion Pictures,Adventure            Family            Fantasy            Mystery,PG,1 hr 48 min,200000000
Iron Man 2,312433331,311500000,623933331,4390,May 7 2010,May 7 2010            -            Aug 19 2010,Paramount Pictures,Action            Adventure            Sci-Fi,PG-13,2 hr 4 min,200000000
The Twilight Saga: Eclipse,300531751,397959596,698491347,4468,Jun 30 2010,Jun 30 2010            -            Oct 21 2010,Summit Entertainment,Action            Adventure            Drama            Fantasy            Romance            Thriller,PG-13,2 hr 4 min,68000000
Inception,292576195,533560993,826137188,3792,Jul 16 2010,Jul 16 2010            -            Jan 6 2011,Warner Bros.,Action            Adventure            Sci-Fi            Thriller,PG-13,2 hr 28 min,160000000
Harry Potter and the Deathly Hallows: Part 1,295983305,680553613,976536918,4125,Nov 19 2010,Nov 19 2010            -            Apr 7 2011,Warner Bros.,Adventure            Fantasy            Mystery,PG-13,2 hr 26 min,
Despicable Me,251513985,291600000,543113985,3602,Jul 9 2010,Jul 9 2010            -            Jan 20 2011,Universal Pictures,Adventure            Animation            Comedy            Crime            Family            Sci-Fi,PG,1 hr 35 min,69000000
Shrek Forever After,238736787,513864080,752600867,4386,May 21 2010,May 21 2010            -            Sep 9 2010,DreamWorks,Adventure            Animation            Comedy            Family            Fantasy            Romance,PG,1 hr 33 min,165000000
How to Train Your Dragon,217581231,277297528,494878759,4060,Mar 26 2010,Mar 26 2010            -            Jul 22 2010,DreamWorks,Action            Adventure            Animation            Comedy            Family            Fantasy,PG,1 hr 38 min,165000000
The Karate Kid,176591618,182534404,359126022,3740,Jun 11 2010,Jun 11 2010            -            Sep 23 2010,Sony Pictures Entertainment (SPE),Action            Drama            Family            Sport,PG,2 hr 20 min,40000000
Clash of the Titans,163214888,330000105,493214993,3802,Apr 2 2010,Apr 2 2010            -            Jul 22 2010,Warner Bros.,Action            Adventure            Fantasy,PG-13,1 hr 46 min,125000000
Grown Ups,162001186,109429003,271430189,3534,Jun 25 2010,Jun 25 2010            -            Oct 28 2010,Sony Pictures Entertainment (SPE),Comedy,PG-13,1 hr 42 min,80000000
Tangled,200821936,391639796,592461732,3603,Nov 24 2010,Nov 24 2010            -            Jun 2 2011,Walt Disney Studios Motion Pictures,Adventure            Animation            Comedy            Family            Fantasy            Musical            Romance,PG,1 hr 40 min,260000000
Megamind,148415853,173469912,321885765,3949,Nov 5 2010,Nov 5 2010            -            Feb 24 2011,DreamWorks,Action            Animation            Comedy            Crime            Family            Sci-Fi            Thriller,PG,1 hr 35 min,130000000
The Last Airbender,131772187,187941694,319713881,3203,Jul 1 2010,Jul 1 2010            -            Sep 23 2010,Paramount Pictures,Action            Adventure            Family            Fantasy,PG,1 hr 43 min,150000000
Shutter Island,128012934,166791261,294804195,3356,Feb 19 2010,Feb 19 2010            -            Jun 10 2010,Paramount Pictures,Mystery            Thriller,R,2 hr 18 min,80000000
